(19, b'FR_calf_joint', 0, 17, 16, 1, 0.0, 0.0, -2.72271363311, -0.837758040957, 23.7, 30.1, b'FR_calf', (0.0, 1.0, 0.0), (0.003468, -0.018947, -0.18026399999999998), (0.0, 0.0, 0.0, 1.0), 18)
(20, b'FR_foot_fixed', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_foot', (0.0, 0.0, 0.0), (-0.006286, -0.001307, -0.09073099999999999), (0.0, 0.0, 0.0, 1.0), 19)
(21, b'FL_hip_joint', 0, 18, 17, 1, 0.0, 0.0, -1.0471975512, 1.0471975512, 23.7, 30.1, b'FL_hip', (1.0, 0.0, 0.0), (0.1658, 0.04475, 0.0005), (0.0, 0.0, 0.0, 1.0), 14)
(22, b'FL_hip_fixed', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FL_thigh_shoulder', (0.0, 0.0, 0.0), (0.00541, 0.08074, -6e-06), (0.0, 0.0, 0.0, 1.0), 21)
(23, b'FL_thigh_joint', 0, 19, 18, 1, 0.0, 0.0, -0.663225115758, 2.96705972839, 23.7, 30.1, b'FL_thigh', (0.0, 1.0, 0.0), (0.00541, 0.08074, -6e-06), (0.0, 0.0, 0.0, 1.0), 21)
(24, b'FL_calf_joint', 0, 20, 19, 1, 0.0, 0.0, -2.72271363311, -0.837758040957, 23.7, 30.1, b'FL_calf', (0.0, 1.0, 0.0), (0.003468, 0.018947, -0.18026399999999998), (0.0, 0.0, 0.0, 1.0), 23)
(25, b'FL_foot_fixed', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FL_foot', (0.0, 0.0, 0.0), (-0.006286, -0.001307, -0.09073099999999999), (0.0, 0.0, 0.0, 1.0), 24)
(26, b'RR_hip_joint', 0, 21, 20, 1, 0.0, 0.0, -1.0471975512, 1.0471975512, 23.7, 30.1, b'RR_hip', (1.0, 0.0, 0.0), (-0.21039999999999998, -0.04875, 0.0005), (0.0, 0.0, 0.0, 1.0), 14)
(27, b'RR_hip_fixed', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'RR_thigh_shoulder', (0.0, 0.0, 0.0), (-0.00541, -0.08074, -6e-06), (0.0, 0.0, 0.0, 1.0), 26)
(28, b'RR_thigh_joint', 0, 22, 21, 1, 0.0, 0.0, -0.663225115758, 2.96705972839, 23.7, 30.1, b'RR_thigh', (0.0, 1.0, 0.0), (-0.00541, -0.08074, -6e-06), (0.0, 0.0, 0.0, 1.0), 26)
(29, b'RR_calf_joint', 0, 23, 22, 1, 0.0, 0.0, -2.72271363311, -0.837758040957, 23.7, 30.1, b'RR_calf', (0.0, 1.0, 0.0), (0.003468, -0.018947, -0.18026399999999998), (0.0, 0.0, 0.0, 1.0), 28)
(30, b'RR_foot_fixed', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'RR_foot', (0.0, 0.0, 0.0), (-0.006286, -0.001307, -0.09073099999999999), (0.0, 0.0, 0.0, 1.0), 29)
(31, b'RL_hip_joint', 0, 24, 23, 1, 0.0, 0.0, -1.0471975512, 1.0471975512, 23.7, 30.1, b'RL_hip', (1.0, 0.0, 0.0), (-0.21039999999999998, 0.04475, 0.0005), (0.0, 0.0, 0.0, 1.0), 14)
(32, b'RL_hip_fixed', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'RL_thigh_shoulder', (0.0, 0.0, 0.0), (-0.00541, 0.08074, -6e-06), (0.0, 0.0, 0.0, 1.0), 31)
(33, b'RL_thigh_joint', 0, 25, 24, 1, 0.0, 0.0, -0.663225115758, 2.96705972839, 23.7, 30.1, b'RL_thigh', (0.0, 1.0, 0.0), (-0.00541, 0.08074, -6e-06), (0.0, 0.0, 0.0, 1.0), 31)
(34, b'RL_calf_joint', 0, 26, 25, 1, 0.0, 0.0, -2.72271363311, -0.837758040957, 23.7, 30.1, b'RL_calf', (0.0, 1.0, 0.0), (0.003468, 0.018947, -0.18026399999999998), (0.0, 0.0, 0.0, 1.0), 33)
(35, b'RL_foot_fixed', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'RL_foot', (0.0, 0.0, 0.0), (-0.006286, -0.001307, -0.09073099999999999), (0.0, 0.0, 0.0, 1.0), 34)
